diagnostic,value,unit
primary_events,7804,events
primary_issuers,528,issuers
primary_reporting_owners,2583,owners
spearman_fraction_vs_return_180d,0.002,correlation
low_relative_size_events,3829,events
low_relative_size_median_fraction,0.89,percent
low_relative_size_median_return_180d,7.05,percent
high_relative_size_events,2039,events
high_relative_size_median_fraction,49.07,percent
high_relative_size_median_return_180d,8.16,percent
raw_high_minus_low_spread,1.11,percentage_points
matched_issuers,141,issuers
matched_issuer_median_spread,1.06,percentage_points
matched_issuers_high_wins,51.8,percent
matched_issuer_bootstrap_lower,-1.56,percentage_points
matched_issuer_bootstrap_upper,2.92,percentage_points
matched_owner_ticker_pairs,37,pairs
matched_owner_ticker_median_spread,3.99,percentage_points
matched_owner_ticker_bootstrap_lower,-1.94,percentage_points
matched_owner_ticker_bootstrap_upper,10.08,percentage_points

